2017-04-07 11:53:03 -> 支付id：1,充值的游戏渠道：tmfyol_60168_308,支付ip地址：117.171.211.59,手机imei码：863904030111834;
2017-04-07 21:12:43 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：14.213.159.165,手机imei码：869609021394257;
2017-04-07 21:12:52 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：14.213.159.165,手机imei码：869609021394257;
2017-04-07 21:12:58 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：14.213.159.165,手机imei码：869609021394257;
2017-04-07 21:23:35 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：14.213.159.165,手机imei码：869609021394257;
2017-04-07 21:23:36 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：14.213.159.165,手机imei码：869609021394257;
2017-04-07 21:23:42 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：14.213.159.165,手机imei码：869609021394257;
2017-04-07 21:23:47 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：14.213.159.165,手机imei码：869609021394257;
2017-04-07 21:23:53 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：14.213.159.165,手机imei码：869609021394257;
2017-04-07 21:23:54 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：14.213.159.165,手机imei码：869609021394257;
2017-04-07 21:23:58 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：14.213.159.165,手机imei码：869609021394257;
2017-04-07 21:24:05 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：14.213.159.165,手机imei码：869609021394257;
2017-04-07 21:37:46 -> 支付id：1,充值的游戏渠道：tmfyol_60168_292,支付ip地址：42.231.0.228,手机imei码：861487035394573;
2017-04-07 21:43:28 -> 支付id：1,充值的游戏渠道：tmfyol_60168_292,支付ip地址：39.189.24.27,手机imei码：862341031781375;
2017-04-07 22:15:04 -> 支付id：1,充值的游戏渠道：tmfyol_60168_269,支付ip地址：223.104.64.2,手机imei码：865737027785295;
2017-04-07 22:17:39 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：171.105.175.250,手机imei码：860077039949950;
2017-04-07 22:27:45 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：123.147.246.189,手机imei码：864499039324586;
2017-04-07 22:30:35 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：139.204.45.24,手机imei码：860312029295985;
2017-04-07 22:30:35 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：139.204.45.24,手机imei码：860312029295985;
2017-04-07 22:40:27 -> 支付id：1,充值的游戏渠道：qyxxc_60174_168,支付ip地址：106.59.204.146,手机imei码：862142033684199;
2017-04-07 22:54:39 -> 支付id：1,充值的游戏渠道：tmfyol_60168_292,支付ip地址：112.97.62.184,手机imei码：862746032020849;
2017-04-07 23:02:51 -> 支付id：1,充值的游戏渠道：tmfyol_60168_225,支付ip地址：125.71.102.99,手机imei码：A1000052B4D065;
2017-04-07 23:07:35 -> 支付id：1,充值的游戏渠道：qyxxc_60174_168,支付ip地址：106.59.204.146,手机imei码：862142033684199;
2017-04-08 00:15:01 -> 支付id：1,充值的游戏渠道：bzgl_60158_246,支付ip地址：27.155.38.123,手机imei码：862609037439457;
2017-04-08 01:19:49 -> 支付id：1,充值的游戏渠道：tmfyol_60168_293,支付ip地址：223.104.175.113,手机imei码：865854025282223;
2017-04-08 01:29:04 -> 支付id：1,充值的游戏渠道：tmfyol_60168_273,支付ip地址：121.56.125.194,手机imei码：861845032603512;
2017-04-08 02:09:59 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：113.251.14.250,手机imei码：861756030912153;
2017-04-08 02:10:02 -> 支付id：1,充值的游戏渠道：szol_60153_290,支付ip地址：117.75.19.168,手机imei码：862813038901693;
2017-04-08 02:10:02 -> 支付id：1,充值的游戏渠道：szol_60153_290,支付ip地址：117.75.19.168,手机imei码：862813038901693;
2017-04-08 02:10:08 -> 支付id：1,充值的游戏渠道：szol_60153_290,支付ip地址：117.75.19.168,手机imei码：862813038901693;
2017-04-08 02:10:16 -> 支付id：1,充值的游戏渠道：szol_60153_290,支付ip地址：117.75.19.168,手机imei码：862813038901693;
2017-04-08 07:50:40 -> 支付id：1,充值的游戏渠道：jztl_60118_301,支付ip地址：112.17.240.81,手机imei码：868612026633225;
2017-04-08 07:57:07 -> 支付id：1,充值的游戏渠道：qyxxc_60174_168,支付ip地址：115.52.229.140,手机imei码：863510036038671;
2017-04-08 08:06:45 -> 支付id：1,充值的游戏渠道：bzgl_60158_246,支付ip地址：223.104.101.25,手机imei码：869894020446833;
2017-04-08 08:29:46 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：121.57.185.110,手机imei码：862658030368882;
2017-04-08 09:33:52 -> 支付id：1,充值的游戏渠道：tmfyol_60168_308,支付ip地址：211.97.131.246,手机imei码：868897026222844;
2017-04-08 09:40:56 -> 支付id：1,充值的游戏渠道：gmdl_60181_292,支付ip地址：223.72.64.55,手机imei码：864394028260810;
2017-04-08 10:47:10 -> 支付id：1,充值的游戏渠道：tmfyol_60168_169,支付ip地址：36.98.21.101,手机imei码：861305030835061;
2017-04-08 10:48:22 -> 支付id：1,充值的游戏渠道：tmfyol_60168_169,支付ip地址：36.98.21.101,手机imei码：861305030835061;
2017-04-08 12:30:51 -> 支付id：1,充值的游戏渠道：jztl_60118_211,支付ip地址：112.17.245.194,手机imei码：865700020833330;
2017-04-08 13:06:54 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：115.220.245.52,手机imei码：862732039126276;
2017-04-08 13:06:54 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：115.220.245.52,手机imei码：862732039126276;
2017-04-08 13:07:03 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：115.220.245.52,手机imei码：862732039126276;
2017-04-08 13:07:03 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：115.220.245.52,手机imei码：862732039126276;
2017-04-08 13:07:08 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：115.220.245.52,手机imei码：862732039126276;
2017-04-08 13:07:09 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：115.220.245.52,手机imei码：862732039126276;
2017-04-08 13:07:13 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：115.220.245.52,手机imei码：862732039126276;
2017-04-08 13:07:13 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：115.220.245.52,手机imei码：862732039126276;
2017-04-08 13:07:18 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：115.220.245.52,手机imei码：862732039126276;
2017-04-08 13:07:18 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：115.220.245.52,手机imei码：862732039126276;
2017-04-08 13:27:11 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：117.164.235.31,手机imei码：000000000000000;
2017-04-08 13:30:17 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：42.93.125.185,手机imei码：867567020648507;
2017-04-08 13:30:17 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：42.93.125.185,手机imei码：867567020648507;
2017-04-08 13:36:05 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：42.93.125.185,手机imei码：867567020648507;
2017-04-08 13:36:05 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：42.93.125.185,手机imei码：867567020648507;
2017-04-08 14:09:40 -> 支付id：1,充值的游戏渠道：default,支付ip地址：106.5.128.25,手机imei码：864895027690252;
2017-04-08 14:20:53 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：114.92.142.4,手机imei码：868406023668866;
2017-04-08 14:20:53 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：114.92.142.4,手机imei码：868406023668866;
2017-04-08 14:21:06 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：114.92.142.4,手机imei码：868406023668866;
2017-04-08 14:26:46 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：182.89.142.51,手机imei码：869464020442495;
2017-04-08 14:31:00 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：202.107.91.149,手机imei码：863193032347485;
2017-04-08 14:31:00 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：202.107.91.149,手机imei码：863193032347485;
2017-04-08 14:35:40 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：106.112.68.52,手机imei码：A10000543756D4;
2017-04-08 14:35:40 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：106.112.68.52,手机imei码：A10000543756D4;
2017-04-08 14:35:48 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：106.112.68.52,手机imei码：A10000543756D4;
2017-04-08 14:35:58 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：106.112.68.52,手机imei码：A10000543756D4;
2017-04-08 14:40:36 -> 支付id：1,充值的游戏渠道：zlcs_60147_306,支付ip地址：121.224.224.88,手机imei码：861749032373672;
2017-04-08 14:40:36 -> 支付id：1,充值的游戏渠道：zlcs_60147_306,支付ip地址：121.224.224.88,手机imei码：861749032373672;
2017-04-08 14:45:00 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：110.152.242.107,手机imei码：860266038061830;
2017-04-08 14:45:00 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：110.152.242.107,手机imei码：860266038061830;
2017-04-08 14:45:12 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：110.152.242.107,手机imei码：860266038061830;
2017-04-08 14:45:27 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：110.152.242.107,手机imei码：860266038061830;
2017-04-08 14:47:23 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：223.104.171.115,手机imei码：861980036482371;
2017-04-08 14:47:24 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：223.104.171.115,手机imei码：861980036482371;
2017-04-08 14:47:53 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：223.104.171.115,手机imei码：861980036482371;
2017-04-08 14:47:53 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：223.104.171.115,手机imei码：861980036482371;
2017-04-08 14:47:58 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：223.104.171.115,手机imei码：861980036482371;
2017-04-08 14:48:37 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：42.59.207.254,手机imei码：862906330035036;
2017-04-08 14:48:37 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：42.59.207.254,手机imei码：862906330035036;
2017-04-08 14:49:11 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：223.104.171.115,手机imei码：861980036482371;
2017-04-08 14:49:11 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：223.104.171.115,手机imei码：861980036482371;
2017-04-08 14:49:26 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：223.104.171.115,手机imei码：861980036482371;
2017-04-08 14:49:26 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：223.104.171.115,手机imei码：861980036482371;
2017-04-08 14:49:27 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：223.104.171.115,手机imei码：861980036482371;
2017-04-08 14:49:36 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：223.104.171.115,手机imei码：861980036482371;
2017-04-08 14:56:35 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：202.107.91.149,手机imei码：863193032347485;
2017-04-08 14:56:36 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：202.107.91.149,手机imei码：863193032347485;
2017-04-08 15:32:30 -> 支付id：1,充值的游戏渠道：zlcs_60147_273,支付ip地址：27.37.49.63,手机imei码：861414037652600;
2017-04-08 15:32:30 -> 支付id：1,充值的游戏渠道：zlcs_60147_273,支付ip地址：27.37.49.63,手机imei码：861414037652600;
2017-04-08 15:32:36 -> 支付id：1,充值的游戏渠道：zlcs_60147_273,支付ip地址：27.37.49.63,手机imei码：861414037652600;
2017-04-08 15:32:46 -> 支付id：1,充值的游戏渠道：zlcs_60147_273,支付ip地址：27.37.49.63,手机imei码：861414037652600;
2017-04-08 15:47:32 -> 支付id：1,充值的游戏渠道：jztl_60118_211,支付ip地址：112.17.236.121,手机imei码：864087030745055;
2017-04-08 15:49:55 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：175.7.85.2,手机imei码：861084036759241;
2017-04-08 15:49:55 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：175.7.85.2,手机imei码：861084036759241;
2017-04-08 15:50:14 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：175.7.85.2,手机imei码：861084036759241;
2017-04-08 15:50:14 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：175.7.85.2,手机imei码：861084036759241;
2017-04-08 15:50:17 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：175.7.85.2,手机imei码：861084036759241;
2017-04-08 15:50:18 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：175.7.85.2,手机imei码：861084036759241;
2017-04-08 15:50:21 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：175.7.85.2,手机imei码：861084036759241;
2017-04-08 15:50:21 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：175.7.85.2,手机imei码：861084036759241;
2017-04-08 15:51:31 -> 支付id：1,充值的游戏渠道：zlcs_60147_186,支付ip地址：223.104.22.104,手机imei码：861206031417323;
2017-04-08 15:51:31 -> 支付id：1,充值的游戏渠道：zlcs_60147_186,支付ip地址：223.104.22.104,手机imei码：861206031417323;
2017-04-08 15:51:35 -> 支付id：1,充值的游戏渠道：zlcs_60147_186,支付ip地址：223.104.22.104,手机imei码：861206031417323;
2017-04-08 15:51:43 -> 支付id：1,充值的游戏渠道：zlcs_60147_186,支付ip地址：223.104.22.104,手机imei码：861206031417323;
2017-04-08 16:22:03 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：221.7.42.40,手机imei码：868869021584718;
2017-04-08 16:22:04 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：221.7.42.40,手机imei码：868869021584718;
2017-04-08 16:22:10 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：221.7.42.40,手机imei码：868869021584718;
2017-04-08 16:22:26 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：221.7.42.40,手机imei码：868869021584718;
2017-04-08 16:24:04 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：27.227.26.165,手机imei码：866192021366966;
2017-04-08 16:24:04 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：27.227.26.165,手机imei码：866192021366966;
2017-04-08 16:43:35 -> 支付id：1,充值的游戏渠道：default,支付ip地址：223.104.105.224,手机imei码：864163036139823;
2017-04-08 16:43:36 -> 支付id：1,充值的游戏渠道：default,支付ip地址：223.104.105.224,手机imei码：864163036139823;
2017-04-08 16:43:39 -> 支付id：1,充值的游戏渠道：default,支付ip地址：223.104.105.224,手机imei码：864163036139823;
2017-04-08 16:43:47 -> 支付id：1,充值的游戏渠道：default,支付ip地址：223.104.105.224,手机imei码：864163036139823;
2017-04-08 17:16:30 -> 支付id：1,充值的游戏渠道：jztl_60118_211,支付ip地址：112.17.236.121,手机imei码：864087030745055;
2017-04-08 17:18:20 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：42.199.59.176,手机imei码：863910038962599;
2017-04-08 17:18:20 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：42.199.59.176,手机imei码：863910038962599;
2017-04-08 17:20:58 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：112.10.14.59,手机imei码：860750036783453;
2017-04-08 17:20:58 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：112.10.14.59,手机imei码：860750036783453;
2017-04-08 17:26:38 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：220.202.153.26,手机imei码：862886035252393;
2017-04-08 17:29:41 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：220.202.153.26,手机imei码：862886035252393;
2017-04-08 17:30:13 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：220.202.153.26,手机imei码：862886035252393;
2017-04-08 17:37:18 -> 支付id：1,充值的游戏渠道：tmfyol_60168_257,支付ip地址：171.209.248.228,手机imei码：863905039261876;
2017-04-08 17:53:22 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：61.158.147.82,手机imei码：863998037122026;
2017-04-08 17:53:34 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：220.115.235.226,手机imei码：862819032467714;
2017-04-08 18:06:41 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：183.220.201.75,手机imei码：863681038447135;
2017-04-08 18:07:32 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：183.220.201.75,手机imei码：863681038447135;
2017-04-08 18:07:55 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：183.220.201.75,手机imei码：863681038447135;
2017-04-08 18:08:25 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：183.220.201.75,手机imei码：863681038447135;
2017-04-08 18:09:14 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：183.220.201.75,手机imei码：863681038447135;
2017-04-08 18:15:14 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：220.202.153.26,手机imei码：862886035252393;
2017-04-08 18:15:24 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：183.220.201.75,手机imei码：863681038447135;
2017-04-08 18:27:19 -> 支付id：1,充值的游戏渠道：bzgl_60158_246,支付ip地址：59.60.239.90,手机imei码：862966031279333;
2017-04-08 18:30:14 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：182.120.171.15,手机imei码：868131027443922;
2017-04-08 18:30:14 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：182.120.171.15,手机imei码：868131027443922;
2017-04-08 18:34:04 -> 支付id：1,充值的游戏渠道：jztl_60118_211,支付ip地址：112.17.236.121,手机imei码：864087030745055;
2017-04-08 18:36:31 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：42.90.161.22,手机imei码：862548030644541;
2017-04-08 18:36:31 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：42.90.161.22,手机imei码：862548030644541;
2017-04-08 18:36:57 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：182.120.171.15,手机imei码：868131027443922;
2017-04-08 18:36:57 -> 支付id：1,充值的游戏渠道：zlcs_60147_269,支付ip地址：182.120.171.15,手机imei码：868131027443922;
2017-04-08 19:49:44 -> 支付id：1,充值的游戏渠道：bzgl_60158_246,支付ip地址：223.104.101.2,手机imei码：869894020446833;
